Game,Status,Date Completed,Hours ,Hours,Rating ,Gameplay,Story,Art,Music,Notes,,
FF7,1:Done,11/11/2025,30,30,9/10,7/10,10/10,5/10,10/10,Was an amazing game but definitely dated. Minigames were ass and sometimes it was basically impossible to know where to go without a walkthrough.,,
Metaphor,1:Done,21/11/2025,50,50,9/10,8/10,10/10,10/10,7/10,"Was an amazing game but I skipped grinding which led to me being super underleveled with no way to really stop it. Game became a lot more fun on story teller mode, the twists were kinda insane and I thought the UI was the greatest I've ever seen",,Edit Hours
Bayonetta,1:Done,23/11/2025,10,10,7/10,8.5/10,4/10,6/10,8/10,"Was definitely fun, but the final boss was half fighting the camera so I skipped it. The cutscenes were kinda ass for the most part",,FALSE
Crisis Core,1:Done,29/11/2025,12,12,5/10,6/10,3/10,8/10,8/10,"Combat was mindless and pretty fun, but I didn't like the retcons to the story and the game added that I found interesting to the FF7 universe",,
Legend of Zelda : Link's awakening,1:Done,07/12/2025,10.5,10.5,8/10,7/10,5/10,10/10,10/10,Great game and an amazing remake of a childhood game that I never beat. Was a lot of fun except for the trading quest and sometimes it was not clear what needed to be done to unlock a clear objective. Feels like it kinda expected me to have childhood amounts of free time,,
No I'm Not Human,1:Done,24/12/2025,2,2,6/10,7/10,4/10,10/10,7/10,"Pretty eerie game, not normally a fan of ""Paper Please"" type games, didn't go for the multiple endings since it seemed like a chore and that there wasn't that much lore I was missing after my three runs.",,
Look Outside,1:Done,11/01/2026,11,11,10/10,8/10,10/10,10/10,10/10,This game was amazing in almost every way. It is extremely hard and the only thing not perfect about it is that it's made using rpg maker,,
Rule of Rose,1:Done,15/02/2026,10.5,10.5,5/10,2/10,8/10,10/10,6/10,"Game had a very cryptic story that was actually intriguing, but the gameplay was a chore. It was either straight up boring, cruelly unfair combat sections or 5 to 15 second long loading screens (we timed it) every 2 minutes. I summed up the game as quite interesting when I wasn't the one playing it.",,
The Hundred Line - Last Defence Academy,"1:Done, 5:Additional Routes",22/02/2026,35,35,8/10,7/10,10/10,10/10,8/10,The game itself was very fun but the different time lines took a bit too long to complete to do several different routes. I did the main story and a second playthrough. Combat could be pretty boring and stale during the second playthrough but I really enjoyed the game for what it was.,,
Mouthwashing,1:Done,29/03/2026,2,2,7/10,4/10,9/10,9/10,8/10,Pretty interesting horror walking simulator. Puzzles were basically not existing. Many sections dragged on for too long (walking down a hallway for 1.5 minutes just waiting),,
Paratopic,1:Done,29/03/2026,0.5,0.5,1/10,1/10,3/10,4/10,3/10,A very short and pointless horror walking simulator. Nothing is explained and nothing interesting happens.,,
Ship of Fools,1:Done,03/05/2026,6,6,9/10,10/10,4/10,8/10,6/10,"Incredibly fun co-op roguelike. Played through it with Fredy and beat almost everything in 6 hours. Builds are bit forced and lack of bosses, but was super fun to play through.",,
Eternal Darkness,1:Done,22/05/2026,11,11,6/10,8/10,7/10,4/10,4/10,"Game was fun at first but the last 3 quarters of the game really dragged on. The chapters were very formulaic and the gameplay wasn't deep enough to keep me entertained past the first two hours. The sanity effects were very cool though. The game without a walkthrough is miserable, so much trial and error",,
